"","Gene.symbol","logFC"
"1","MYOC",-1.18846058
"2","LYVE1",-1.00600074
"3","DPT",-1.42887646
"4","DPT",-1.22541396
"5","ADIPOQ",-1.12217762
"12","FABP4",-1.23962658
"19","MAMDC2",-1.33216878
"21","SFRP1",-1.23412792
"22","SCARA5",-1.0372173
"26","C2orf40",-1.67473614
"32","PLP1",-1.04773582
"40","CEMIP",1.14857482
"51","INHBA",1.03705546
"53","AQP4",-1.31486248
"55","CHRDL1",-1.18412157
"57","TCEAL2",-1.09887697
"64","SORBS2",-1.40051797
"67","GPR155",-1.0166233
"69","SCN7A",-1.25123116
"71","ATP1A2",-1.0859098
"81","ADH1B",-1.4215333
"89","SORBS2",-1.36774987
"99","",-1.3791826
"104","CXCL12",-1.0740949
"107","TMEM100",-1.11584109
"113","ADH1B",-1.5459681
"127","C7",-1.3416341
"132","ANGPTL1",-1.06983329
"140","ESRRG",-1.03292123
"157","PLN",-1.18266025
"162","PLN",-1.20231858
"163","SORBS2",-1.15153391
"171","EPHA7",-1.07502985
"179","PLN",-1.17961209
"183","ESRRG",-1.25689035
"195","FHL1",-1.09647652
"214","MFAP5",-1.07341159
"221","PGM5",-1.10018565
"237","MYH11",-1.0915062
"252","OGN",-1.27209932
"261","OGN",-1.46266333
"277","SYNM",-1.15707821
"284","MMP3",1.32759212
"313","ATP4A",-1.32121539
"335","SYNPO2",-1.27158606
"336","MYH11",-1.24538993
"345","MYH11",-1.09787888
"393","PDZRN4",-1.07845308
"462","VIP",-1.05145525
"478","CXCL8",1.01681772
"481","ATP4B",-1.52600165
"503","SYNPO2",-1.11135218
"508","BCHE",-1.0043229
"627","ABCA8",-1.11022714
"694","SYNPO2",-1.02585457
"801","CNN1",-1.06956708
"914","CXCL8",1.18155624
"919","IGF2BP3",1.02999648
"1321","SMPX",-1.02350941
"1822","GIF",-1.39646175
"2843","PGA4///PGA3///PGA5",-1.40014779
"3173","WDR72",1.056313
"5277","LIPF",-1.341523
"7510","GKN1",-1.2016942
"7585","GKN2",-1.1772897
