"","Gene.symbol","logFC"
"1117","INHBA",-4.68130181
"2650","INHBA",-3.27187043
"5232","SORBS2",1.3312431
"5351","CEMIP",-2.87896092
"9758","GKN2",5.88274273
"11098","ESRRG",2.78898925
"11636","GIF",4.65710524
"11967","GKN1",5.96862921
"13480","ATP4B",4.07552931
"13655","ATP4A",3.31020024
"15986","ESRRG",1.84393246
"17292","IGF2BP3",-2.0674894
"19042","IGF2BP3",-1.98333731
"20388","MYOC",-1.21098294
"26642","SORBS2",-1.56353731
"28184","SORBS2",-1.43364285
"29601","LIPF",2.94243819
"30212","AQP4",1.23054224
