ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
210125_s_at	8.20E-83	1.50E-87	49.7	187.8	3.126	BANF1	barrier to autointegration factor 1
210023_s_at	9.04E-73	3.31E-77	41	164.9	2.712	PCGF1	polycomb group ring finger 1
225294_s_at	2.56E-72	1.78E-76	40.5	163.3	2.988	TRAPPC1	trafficking protein particle complex 1
200041_s_at	2.56E-72	1.87E-76	40.4	163.2	2.154	ATP6V1G2-DDX39B///SNORD84///DDX39B	"ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B"
240601_at	1.05E-70	9.62E-75	-39.2	159.4	-3.206		
231875_at	3.72E-66	4.08E-70	-35.9	149	-3.345	KIF21A	kinesin family member 21A
242772_x_at	8.24E-66	1.05E-69	-35.6	148.1	-2.795		
221006_s_at	7.59E-65	1.23E-68	34.9	145.7	2.764	SNX27	sorting nexin family member 27
229982_at	7.59E-65	1.25E-68	34.9	145.7	3.595	QSER1	glutamine and serine rich 1
228582_x_at	3.91E-62	7.16E-66	33.1	139.4	3.531	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
237001_at	3.61E-61	7.27E-65	-32.4	137.2	-2.788		
242428_at	9.77E-61	2.14E-64	-32.1	136.1	-2.907		
213956_at	1.14E-60	2.70E-64	32	135.9	2.371	CEP350	centrosomal protein 350
212291_at	1.71E-60	4.39E-64	31.9	135.4	2.732	HIPK1	homeodomain interacting protein kinase 1
227510_x_at	1.89E-59	5.17E-63	31.3	133	3.895	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
208611_s_at	9.81E-59	2.87E-62	30.8	131.3	3.126	SPTAN1	"spectrin alpha, non-erythrocytic 1"
200707_at	8.14E-58	2.53E-61	30.2	129.1	3.288	PRKCSH	protein kinase C substrate 80K-H
215378_at	9.76E-58	3.21E-61	-30.2	128.9	-1.63		
227404_s_at	9.78E-57	3.40E-60	29.6	126.6	5.902	EGR1	early growth response 1
208973_at	9.95E-57	3.64E-60	29.5	126.5	2.224	ERI3	ERI1 exoribonuclease family member 3
208297_s_at	1.10E-56	4.21E-60	-29.5	126.4	-2.013	EVI5	ecotropic viral integration site 5
239238_at	3.09E-56	1.24E-59	29.2	125.3	2.553		
1555730_a_at	1.99E-55	8.39E-59	28.7	123.4	2.067	CFL1	cofilin 1
221830_at	1.10E-54	4.81E-58	28.3	121.7	2.899	RAP2A	"RAP2A, member of RAS oncogene family"
1563173_at	3.30E-54	1.51E-57	-28	120.6	-2.377		
200613_at	3.95E-54	1.88E-57	28	120.4	1.92	AP2M1	adaptor related protein complex 2 mu 1 subunit
206491_s_at	7.69E-54	3.80E-57	27.8	119.7	1.879	NAPA	NSF attachment protein alpha
202987_at	4.97E-53	2.55E-56	-27.3	117.8	-1.984	TRAF3IP2	TRAF3 interacting protein 2
218748_s_at	6.86E-53	3.64E-56	27.2	117.4	2.788	EXOC5	exocyst complex component 5
243858_at	1.01E-52	5.55E-56	-27.1	117	-3.279		
200709_at	1.73E-52	9.82E-56	27	116.4	2.053	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A
201251_at	2.63E-52	1.54E-55	26.9	116	3.833	PKM	"pyruvate kinase, muscle"
240390_at	3.35E-52	2.02E-55	-26.8	115.7	-3.057	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5
1559054_a_at	3.85E-52	2.40E-55	-26.8	115.6	-2.186		
204506_at	9.82E-52	6.28E-55	-26.6	114.6	-1.91	PPP3R1	"protein phosphatase 3 regulatory subunit B, alpha"
217878_s_at	2.57E-51	1.69E-54	-26.3	113.6	-2.057	CDC27	cell division cycle 27
218841_at	2.57E-51	1.74E-54	-26.3	113.6	-1.75	ASB8	ankyrin repeat and SOCS box containing 8
229905_at	8.17E-51	5.68E-54	26	112.4	2.547	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1
215252_at	1.62E-50	1.16E-53	25.9	111.7	2.759	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7
235577_at	5.25E-50	3.92E-53	25.6	110.5	2.237	ZNF652	zinc finger protein 652
1556743_at	5.25E-50	3.94E-53	-25.6	110.5	-1.756	ZNF654	zinc finger protein 654
216915_s_at	6.78E-50	5.20E-53	25.5	110.2	3.04	PTPN12	"protein tyrosine phosphatase, non-receptor type 12"
234989_at	9.15E-50	7.20E-53	25.4	109.9	2.911	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)
1554574_a_at	9.63E-50	7.75E-53	25.4	109.9	2.644	CYB5R3	cytochrome b5 reductase 3
210649_s_at	1.74E-49	1.43E-52	25.3	109.2	2.49	ARID1A	AT-rich interaction domain 1A
242835_s_at	1.85E-49	1.56E-52	-25.3	109.2	-1.892	LOC728730	uncharacterized LOC728730
1553718_at	2.06E-49	1.77E-52	25.2	109	1.526	ZNF548	zinc finger protein 548
229457_at	5.03E-49	4.42E-52	-25	108.1	-2.07	ANKHD1	ankyrin repeat and KH domain containing 1
235412_at	5.53E-49	4.96E-52	25	108	3.428	ARHGEF7	Rho guanine nucleotide exchange factor 7
1554530_at	1.22E-48	1.11E-51	-24.8	107.2	-1.995	VSTM2A	V-set and transmembrane domain containing 2A
213048_s_at	1.54E-48	1.44E-51	24.8	107	2.747	SET	SET nuclear proto-oncogene
233876_at	2.34E-48	2.23E-51	-24.7	106.5	-2.587		
234780_at	2.62E-48	2.54E-51	-24.6	106.4	-4.632		
230117_at	4.46E-48	4.40E-51	-24.5	105.9	-2.244	VSTM2A	V-set and transmembrane domain containing 2A
224863_at	5.44E-48	5.48E-51	-24.5	105.6	-2.258	GNAQ	G protein subunit alpha q
201367_s_at	9.56E-48	9.80E-51	24.3	105.1	3.072	ZFP36L2	ZFP36 ring finger protein like 2
1569003_at	1.20E-47	1.26E-50	24.3	104.8	3.288	VMP1	vacuole membrane protein 1
242665_at	4.19E-47	4.45E-50	24	103.6	2.947	FMNL2	formin like 2
238320_at	4.98E-47	5.37E-50	23.9	103.4	4.893	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)
208751_at	7.12E-47	7.81E-50	23.9	103	1.779	NAPA	NSF attachment protein alpha
