"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
336059	2.31e-22	4.99e-27	-22.888756	50.26128	-4.4390762		
2037	1.52e-18	6.56e-23	-18.857822	41.427681	-6.1737005	MUC5AC	mucin
369068	2.97e-17	1.93e-21	-15.634779	38.35399	-3.7052832	MT1E	metallothionein
22078	7.37e-17	6.37e-21	-15.056892	37.205577	-2.3248185	RPL11	ribosomal
352087	1.43e-16	1.54e-20	-15.756424	36.320138	-2.1286289	HEATR3	HEAT
321071	4.37e-16	5.66e-20	-17.489774	34.914402	-3.1335		
225044	4.49e-16	6.79e-20	-15.780935	34.873046	-2.7148007	PSENEN	presenilin
408103	2.41e-15	4.17e-19	-14.338225	33.125061	-4.9362316	HIST1H4C	histone
13033	4.06e-15	7.90e-19	-13.447314	32.53423	-2.9295263	MIF	macrophage
281062	1.10e-14	2.38e-18	-14.352023	31.464126	-2.1689922		
350019	2.08e-14	4.94e-18	-12.969624	30.753311	-3.0511987	SMG1P5	SMG1P5,
109070	4.26e-14	1.10e-17	12.609939	29.966372	2.1106633	KCMF1	potassium
235035	9.54e-14	2.68e-17	12.643214	29.097411	1.6632239	IL19	interleukin
103080	1.16e-13	3.49e-17	-12.787098	28.864665	-2.727911	FICD	FIC
269013	1.23e-13	4.00e-17	12.211338	28.710503	2.8882644	RPL37///RPL37	ribosomal
142030	1.42e-13	4.90e-17	-14.087941	28.536917	-2.5069767		
205004	2.18e-13	8.00e-17	-12.885511	28.069471	-1.446727	DICER1	dicer
6072	2.30e-13	9.03e-17	11.96227	27.914805	3.1867801	COL4A1	collagen
192003	2.30e-13	9.45e-17	-12.965759	27.910791	-1.637943	ZFAND6	zinc
153110	2.43e-13	1.05e-16	-12.101939	27.779402	-3.4262254	SNHG5	small
342019	4.26e-13	1.93e-16	-13.330848	27.221831	-1.6844896		
431023	5.18e-13	2.46e-16	12.029677	26.926399	2.219826	COL4A2	collagen
182023	5.27e-13	2.62e-16	11.640294	26.873757	2.8440576	TCEAL4	transcription
342095	6.43e-13	3.33e-16	-12.25943	26.679034	-1.6818057		
136048	7.46e-13	4.03e-16	11.682054	26.454004	2.20572	PCM1	pericentriolar
264085	8.21e-13	4.61e-16	-15.137634	26.281911	-2.5424735	CBX5	chromobox
410036	2.02e-12	1.18e-15	-11.944381	25.455285	-2.0824614		
254091	2.18e-12	1.32e-15	-12.737826	25.369789	-1.6030427		
17003	2.33e-12	1.46e-15	11.128726	25.191199	1.7603121	MARS	methionyl-tRNA
389071	4.41e-12	2.86e-15	-11.164443	24.554871	-1.7066347		
479006	4.54e-12	3.04e-15	10.91364	24.4735	2.1385787	VIM///ZYX///SH3GL1	vimentin///zyxin///SH3
6086	5.24e-12	3.63e-15	11.176066	24.330159	3.0976027	IGFBP7///TLCD1	insulin
300086	6.67e-12	4.76e-15	-10.782849	24.034154	-1.3000571	IKZF4	IKAROS
232086	7.14e-12	5.25e-15	10.75421	23.937661	1.5564189	TAOK3	TAO
164084	7.97e-12	6.02e-15	-11.290536	23.856175	-2.0554855	TLK1	tousled
141016	8.24e-12	6.46e-15	-10.915435	23.757956	-1.6888802		
456073	8.24e-12	6.59e-15	-11.075874	23.753156	-1.3341634		
183067	9.57e-12	7.85e-15	-13.660834	23.619751	-2.5369144		
455016	9.99e-12	8.42e-15	10.617264	23.474803	1.5830873		
195087	1.07e-11	9.27e-15	10.589276	23.379916	3.3471907	IGFBP5	insulin
296104	1.39e-11	1.23e-14	10.507021	23.100481	2.0182611	RPL37A///UBN2	ribosomal
367059	1.54e-11	1.40e-14	-10.925445	23.024609	-2.3701165	ASAP2	ArfGAP
425069	1.59e-11	1.51e-14	-12.641782	23.022214	-2.7431068		
499023	1.59e-11	1.49e-14	10.452275	22.914034	2.3139353	ARID5B	AT-rich
354061	1.74e-11	1.69e-14	-10.623574	22.813489	-2.0645043	ABCC3	ATP
130111	1.90e-11	1.89e-14	10.449351	22.685906	2.2547104	LTBP2	latent
266076	1.91e-11	1.94e-14	-10.510899	22.672808	-1.8585822	ZNHIT1	zinc
72065	2.15e-11	2.23e-14	10.337131	22.520683	3.7045805	RGS1	regulator
106065	3.10e-11	3.28e-14	-10.656022	22.190784	-1.735838	BCL7C	BCL
19087	4.38e-11	4.82e-14	-11.956386	21.902186	-2.9285128	PLEKHB2	pleckstrin
229006	3.93e-11	4.25e-14	10.152259	21.885759	2.8514544	CBWD3///CBWD5///CBWD2///CBWD1	COBW
313021	4.77e-11	5.36e-14	10.086116	21.657601	1.7617176	ATRX	ATRX,
392036	4.81e-11	5.50e-14	10.078645	21.631798	1.3492188	RPS24///AGPAT2	ribosomal
98080	5.48e-11	6.51e-14	-11.831895	21.611953	-2.6721667		
441033	5.32e-11	6.20e-14	10.305152	21.541501	1.773065	PRMT2	protein
114058	6.58e-11	7.96e-14	-10.302369	21.312852	-2.1870343	IFI6	interferon
276068	6.88e-11	8.47e-14	-10.359182	21.260952	-1.7034294	TSTD1	thiosulfate
272024	7.52e-11	9.43e-14	-11.850411	21.257865	-2.0400547		
243081	8.15e-11	1.04e-13	9.957103	21.017121	1.979307	MFHAS1	malignant
100021	8.68e-11	1.13e-13	9.876109	20.9298	2.4264855	KARS	lysyl-tRNA
325074	9.85e-11	1.30e-13	-13.724108	20.859993	-2.1519931	KIAA1143	KIAA1143
119106	1.65e-10	2.24e-13	-11.488806	20.424053	-1.7077961		
240027	1.65e-10	2.24e-13	-10.57545	20.364881	-2.1639862	SNRPN	small
154070	1.70e-10	2.39e-13	-10.889034	20.32843	-1.3567478		
492028	1.66e-10	2.30e-13	9.849283	20.255241	1.4044411	NOD1	nucleotide
189057	1.71e-10	2.44e-13	-10.031708	20.22186	-1.9877701		
221069	1.94e-10	2.86e-13	-10.302854	20.108298	-1.3003724		
355105	1.90e-10	2.75e-13	9.796926	20.075563	4.3497434	RGS1	regulator
434054	1.95e-10	2.90e-13	-9.978853	20.052866	-1.3955681		
146009	1.97e-10	2.99e-13	9.600909	19.968484	1.893599	PCMTD2	protein-L-isoaspartate
190044	1.97e-10	3.02e-13	-9.598289	19.959291	-1.4160151	C9orf16	chromosome
397056	2.04e-10	3.17e-13	9.585032	19.91277	1.3649903	PPIG	peptidylprolyl
4083	2.10e-10	3.31e-13	9.682843	19.886183	1.8834846	KIF21A	kinesin
283024	2.25e-10	3.60e-13	-9.549276	19.787193	-1.2057038		
373048	2.35e-10	3.81e-13	9.533172	19.730594	1.92296	NFYB	nuclear
448014	2.76e-10	4.59e-13	-10.063595	19.634337	-1.5672591		
127079	2.60e-10	4.27e-13	-9.501715	19.619949	-2.2489084		
372031	2.90e-10	4.88e-13	-9.68972	19.524221	-1.2791083	GSTO1	glutathione
293069	2.93e-10	5.06e-13	-9.809174	19.507972	-1.9476046	LOC102546299	uncharacterized
127047	2.93e-10	5.01e-13	9.456916	19.462199	1.7290674	UBC///METRNL	ubiquitin
334043	3.01e-10	5.27e-13	9.442835	19.412572	1.940154	DHX58	DEXH-box
86026	3.17e-10	5.62e-13	9.588411	19.379136	1.5659292	ZCCHC17	zinc
389063	3.53e-10	6.33e-13	-9.613037	19.268792	-2.1131548		
401037	3.91e-10	7.18e-13	-9.771433	19.17496	-1.5022788		
457021	3.91e-10	7.10e-13	9.360061	19.120428	2.8480671	CTGF	connective
157092	5.05e-10	9.38e-13	9.384906	18.863893	1.5058038	AGPAT1	1-acylglycerol-3-phosphate
274057	5.38e-10	1.02e-12	-9.885884	18.859227	-1.4892175		
